0,22.18,0
900,21.96,0
1800,22.05,0
2700,21.9,0
3600,21.76,0
4500,21.65,0
5400,21.59,0
6300,21.36,0
7200,21.52,0
8100,21.47,0
9000,21.53,0
9900,21.51,0
10800,21.46,0
11700,21.38,0
12600,21.53,0
13500,21.44,0
14400,21.35,0
15300,21.28,0
16200,21.12,0
17100,21.11,0
18000,21.17,0
18900,21.17,0
19800,21.07,0
20700,21.04,0
21600,21.14,0
22500,21.11,0
23400,21.01,0
24300,20.96,0
25200,20.91,0
26100,20.83,0
27000,20.78,0
27900,20.82,0
28800,20.8,0
29700,20.74,0
30600,20.21,0
31500,20.72,0
32400,20.71,0
33300,20.66,0
34200,20.72,0
35100,20.67,0
36000,20.65,0
36900,20.62,1
37800,20.81,1
38700,20.92,1
39600,21.06,1
40500,21.17,1
41400,21.23,1
42300,21.21,1
43200,21.35,1
44100,21.48,1
45000,21.47,1
45900,21.59,1
46800,21.69,1
